mlbam_id,birth_year,birth_month,birth_day,mlb_position
664062,1994,5,14,P
620454,1996,1,10,P
681869,1995,9,6,P
605452,1993,5,21,P
663399,1994,6,3,P
570632,1991,9,12,P
663738,1996,11,17,P
663947,1996,6,13,P
547184,1992,9,6,P
607200,1993,2,25,P
669684,1998,6,5,P
606996,1992,11,23,P
592426,1991,8,24,P
621121,1993,10,2,P
471911,1987,3,21,P
592454,1989,8,7,P
621111,1994,7,28,P
621107,1994,4,8,P
623167,1994,7,1,P
571760,1991,6,5,P
673513,1995,10,30,P
641401,1995,1,29,P
519151,1988,12,15,P
663423,1993,9,30,P
672391,1992,2,5,P
641672,1994,9,29,P
687830,1997,12,12,P
656557,1996,6,29,P
656546,1993,1,8,P
663623,1997,2,18,P
682120,1996,10,8,P
678226,1996,9,15,P
667463,1994,9,14,P
669674,1995,7,8,P
605447,1993,4,21,P
689690,1998,6,16,P
596295,1993,11,23,P
669211,1995,4,1,P
671131,1999,4,1,P
656240,1996,4,10,P
687330,1997,11,28,P
660896,1995,7,28,P
669060,1997,12,20,P
672841,1999,10,13,P
674370,1995,10,18,P
683627,2002,1,12,P
666277,1999,3,24,P
543101,1990,4,18,P
670102,1996,4,22,P
643338,1991,5,24,P
641482,1994,12,10,P
650893,1996,10,10,P
