Name,ProjectedFP,flag,IDfg,flag_value
Aaron Nola,224.02024205605335,Low projected PA/IP (injury/role concern),—,94.1
Jordan Beck,219.09475196712498,Low projected PA/IP (injury/role concern),—,269.075
Tyler Freeman,217.28622681661892,Low projected PA/IP (injury/role concern),—,275.864
Davis Martin,216.225406656,Low projected PA/IP (injury/role concern),—,142.2
Tyler Glasnow,213.44045484666663,Low projected PA/IP (injury/role concern),—,90.1
Slade Cecconi,209.44119680000003,Low projected PA/IP (injury/role concern),—,132.0
Willi Castro,209.25133610146224,Low projected PA/IP (injury/role concern),—,270.113
Isaac Collins,206.6128795582525,Low projected PA/IP (injury/role concern),—,299.385
Pablo Lopez,200.1433356989156,Low projected PA/IP (injury/role concern),—,75.2
Kris Bubic,199.97761451399998,Low projected PA/IP (injury/role concern),—,116.1
Eury Perez,199.77895278333327,Low projected PA/IP (injury/role concern),—,95.1
Bryce Miller,198.18473878435555,Low projected PA/IP (injury/role concern),—,90.1
Dustin May,197.12953630666664,Low projected PA/IP (injury/role concern),—,132.1
Aaron Civale,195.94346834666663,Low projected PA/IP (injury/role concern),—,102.0
Bailey Falter,195.112069467,Low projected PA/IP (injury/role concern),—,125.1
Ryan McMahon,193.12273213319324,Low projected PA/IP (injury/role concern),—,299.742
Mickey Moniak,192.07845093851688,Low projected PA/IP (injury/role concern),—,197.779
Grant Holmes,187.00994927999997,Low projected PA/IP (injury/role concern),—,115.0
Mike Yastrzemski,185.64066409899436,Age 36 — heightened decline risk,,35.6
Janson Junk,185.31796995555553,Low projected PA/IP (injury/role concern),—,110.0
Mike Vasil,185.07633899999996,Low projected PA/IP (injury/role concern),—,101.0
Josh Lowe,178.3462414356821,Low projected PA/IP (injury/role concern),—,228.828
Adrian Houser,176.69835555555554,Low projected PA/IP (injury/role concern),—,125.0
Randy Vasquez,175.84715013631998,Low projected PA/IP (injury/role concern),—,133.2
Salvador Perez,174.08068284928328,Age 36 — heightened decline risk,,35.9
Salvador Perez,174.08068284928328,Low projected PA/IP (injury/role concern),—,281.133
Michael King,174.02885459786665,Low projected PA/IP (injury/role concern),—,73.1
Robert Suarez,173.4650237539556,Low projected PA/IP (injury/role concern),—,69.2
Robert Suarez,173.4650237539556,Age 35 — heightened decline risk,,35.1
Tyler O'Neill,173.32018173744223,Low projected PA/IP (injury/role concern),—,290.567
Alek Thomas,170.3412863428922,Low projected PA/IP (injury/role concern),—,217.541
Cade Smith,167.8000428384,Low projected PA/IP (injury/role concern),—,73.2
Romy Gonzalez,167.51339991131823,Low projected PA/IP (injury/role concern),—,251.579
Taijuan Walker,167.1300904846222,Low projected PA/IP (injury/role concern),—,123.2
Jacob Lopez,165.99352187111108,Low projected PA/IP (injury/role concern),—,92.2
Clayton Kershaw,165.16991919999998,Low projected PA/IP (injury/role concern),—,112.2
Clayton Kershaw,165.16991919999998,Age 38 — heightened decline risk,,38.0
Jordan Walker,164.21901649079604,Low projected PA/IP (injury/role concern),—,188.026
Zach McKinstry,163.92878725636086,Low projected PA/IP (injury/role concern),—,190.387
Edwin Diaz,163.0333937866666,Low projected PA/IP (injury/role concern),—,66.1
Blaze Alexander,162.7855512637081,Low projected PA/IP (injury/role concern),—,273.13
Wenceel Perez,159.879003093134,Low projected PA/IP (injury/role concern),—,272.679
Cade Povich,159.07395503066664,Low projected PA/IP (injury/role concern),—,112.1
Andrew Benintendi,158.98587297313048,Low projected PA/IP (injury/role concern),—,258.453
Jake McCarthy,157.97089763425288,Low projected PA/IP (injury/role concern),—,142.704
Walker Buehler,157.64482719999998,Low projected PA/IP (injury/role concern),—,126.0
Jhoan Duran,157.520748,Low projected PA/IP (injury/role concern),—,70.0
Eric Lauer,155.32245765688893,Low projected PA/IP (injury/role concern),—,104.2
Ronny Henriquez,155.05051104333333,Low projected PA/IP (injury/role concern),—,73.0
Mike Burrows,153.74075541333332,Low projected PA/IP (injury/role concern),—,96.0
Cal Quantrill,153.05402545377777,Low projected PA/IP (injury/role concern),—,117.2
Corbin Burnes,152.16014563418443,Low projected PA/IP (injury/role concern),—,64.1
Landen Roupp,151.63480420480002,Low projected PA/IP (injury/role concern),—,106.2
Tyler Stephenson,150.26776624821977,Low projected PA/IP (injury/role concern),—,255.694
Jasson Dominguez,149.64249102694106,Low projected PA/IP (injury/role concern),—,120.429
Cole Ragans,149.28686088876,Low projected PA/IP (injury/role concern),—,61.2
Ben Brown,149.18026351511108,Low projected PA/IP (injury/role concern),—,106.1
Luis L. Ortiz,149.04263109119998,Low projected PA/IP (injury/role concern),—,88.2
Michael A. Taylor,148.1622953438344,Age 35 — heightened decline risk,,35.0
Will Benson,147.1590341483493,Low projected PA/IP (injury/role concern),—,120.612
Raisel Iglesias,146.59631980993998,Age 36 — heightened decline risk,,36.2
Raisel Iglesias,146.59631980993998,Low projected PA/IP (injury/role concern),—,67.1
Edmundo Sosa,145.93541357668488,Low projected PA/IP (injury/role concern),—,166.115
Jonathan Cannon,145.76978259199998,Low projected PA/IP (injury/role concern),—,103.2
Andres Munoz,145.44152153856,Low projected PA/IP (injury/role concern),—,62.1
Sean Newcomb,144.95716011999997,Low projected PA/IP (injury/role concern),—,92.1
Carlos Estevez,142.36886669353333,Low projected PA/IP (injury/role concern),—,66.0
Jeff Hoffman,142.2264881208889,Low projected PA/IP (injury/role concern),—,68.0
Zach Eflin,141.31064043599997,Low projected PA/IP (injury/role concern),—,71.1
Ryan Gusto,141.18474519111112,Low projected PA/IP (injury/role concern),—,101.2
Ezequiel Duran,141.03082377675926,Low projected PA/IP (injury/role concern),—,213.482
Gavin Sheets,140.74815840901908,Low projected PA/IP (injury/role concern),—,220.974
Logan O'Hoppe,140.54910461600912,Low projected PA/IP (injury/role concern),—,236.558
Gabriel Arias,137.7043527758841,Low projected PA/IP (injury/role concern),—,297.073
Stephen Kolek,137.42580133333334,Low projected PA/IP (injury/role concern),—,112.2
Tyrone Taylor,137.38919300719436,Low projected PA/IP (injury/role concern),—,114.237
Jake Mangum,136.26786939079,Low projected PA/IP (injury/role concern),—,190.065
Devin Williams,135.5049128888889,Low projected PA/IP (injury/role concern),—,62.0
Griffin Canning,135.3203750271333,Low projected PA/IP (injury/role concern),—,76.1
Tyler Holton,135.01115687240002,Low projected PA/IP (injury/role concern),—,78.2
