playerid,PA
19722.0,339.026
22542.0,480.112
29715.0,468.571
19290.0,631.303
21454.0,447.658
24598.0,438.957
19918.0,518.521
26299.0,442.516
29591.0,440.556
20352.0,465.777
23690.0,392.858
20308.0,400.077
7304.0,563.481
31595.0,434.378
29695.0,483.661
13620.0,313.092
26396.0,427.81
29622.0,456.988
26151.0,494.469
20043.0,477.447
20220.0,459.514
29478.0,307.746
10155.0,417.795
21523.0,473.583
26466.0,402.713
21837.0,478.017
22275.0,502.812
13066.0,548.266
19326.0,605.663
11739.0,392.282
33541.0,521.875
26477.0,430.276
11609.0,456.372
27506.0,360.994
33549.0,318.387
29995.0,446.725
22515.0,525.737
11477.0,470.574
31505.0,412.325
25807.0,447.686
18030.0,433.349
12564.0,436.612
19470.0,375.148
20202.0,412.133
25479.0,486.384
12552.0,567.503
25782.0,270.113
31680.0,299.742
17338.0,476.68
16442.0,449.511
26546.0,424.13
27490.0,351.046
15112.0,411.541
25961.0,421.207
19352.0,334.743
29976.0,355.78
15905.0,202.118
22184.0,432.092
19955.0,389.11
29592.0,448.731
29794.0,412.902
27465.0,569.68
35041.0,360.916
17128.0,440.945
13145.0,486.908
13419.0,522.739
18577.0,423.53
31349.0,416.956
31695.0,312.463
16535.0,307.159
19913.0,369.389
19858.0,350.375
16725.0,200.157
23800.0,375.488
27555.0,313.108
19452.0,198.264
21614.0,382.346
26123.0,357.383
29931.0,289.259
28824.0,326.033
11899.0,361.838
17929.0,407.849
25477.0,351.981
22263.0,441.962
14968.0,317.942
26368.0,331.269
15711.0,367.458
25979.0,330.706
21538.0,255.694
23565.0,306.997
17232.0,359.906
26548.0,329.672
31394.0,290.567
10324.0,453.31
29617.0,244.353
17988.0,399.424
19287.0,500.0
29668.0,310.871
21501.0,396.93
31912.0,353.261
22563.0,366.213
27462.0,297.073
21524.0,251.579
29993.0,428.866
14854.0,379.06
18123.0,252.772
21693.0,262.827
5517.0,186.061
34979.0,305.281
24729.0,380.791
20084.0,142.644
23401.0,277.869
18795.0,270.663
19392.0,343.594
27475.0,443.756
21562.0,218.951
19238.0,379.946
15518.0,227.609
21897.0,329.131
31382.0,172.214
26517.0,380.472
35108.0,360.771
27534.0,320.363
23372.0,217.541
22217.0,219.172
27883.0,243.659
16939.0,412.012
22857.0,338.984
26323.0,410.031
14221.0,441.969
4949.0,347.039
19953.0,391.003
23792.0,277.202
26197.0,494.628
27496.0,309.699
29779.0,247.355
26224.0,172.491
19610.0,320.725
29958.0,194.337
22532.0,297.587
26438.0,329.467
25643.0,142.945
18363.0,262.849
33322.0,220.324
12976.0,110.207
19260.0,330.655
21622.0,319.011
28253.0,194.53
29844.0,238.533
22541.0,306.754
18848.0,167.967
21746.0,146.587
30038.0,313.729
12979.0,291.53
23789.0,225.331
29858.0,303.933
27531.0,181.17
31363.0,217.028
21646.0,142.704
25629.0,168.07
19354.0,298.51
19901.0,393.52
28022.0,371.855
16530.0,336.936
17901.0,441.354
27577.0,192.724
27684.0,220.129
15878.0,271.019
22239.0,196.924
9218.0,355.85
21009.0,139.496
13590.0,221.0
26467.0,167.852
33252.0,186.813
17022.0,221.613
23733.0,225.564
28312.0,164.154
26540.0,200.843
19892.0,363.338
26031.0,143.461
31357.0,172.665
13897.0,98.5989
16472.0,350.75
13770.0,197.779
31855.0,218.794
28820.0,267.12
31500.0,206.565
19921.0,206.232
23691.0,195.167
22896.0,343.534
23782.0,120.429
7802.0,127.353
26202.0,252.418
19296.0,146.026
33197.0,201.052
33704.0,191.845
22530.0,164.705
31431.0,441.278
19896.0,230.254
18054.0,187.736
21780.0,126.188
21558.0,230.123
12859.0,161.426
19956.0,394.44
22514.0,146.797
18900.0,118.644
31564.0,149.238
15271.0,106.67
16622.0,118.677
11442.0,148.064
29766.0,143.394
31354.0,118.49
19363.0,368.456
20572.0,206.506
24770.0,168.954
15194.0,274.081
23698.0,139.858
7739.0,172.635
26365.0,241.977
28080.0,101.341
22458.0,235.055
31837.0,169.034
22277.0,132.863
19514.0,99.6318
35322.0,112.328
22823.0,200.403
13185.0,120.612
29704.0,171.345
31583.0,268.202
24336.0,121.82
21707.0,152.029
13675.0,222.773
33644.0,93.3379
27482.0,195.7
9241.0,194.649
22054.0,185.734
9774.0,77.5747
24589.0,180.962
16512.0,154.791
16930.0,105.324
18819.0,172.084
21797.0,234.668
19566.0,201.193
25180.0,168.323
27504.0,122.482
23695.0,173.336
21853.0,212.705
29606.0,136.537
21587.0,98.7076
10231.0,133.686
10243.0,111.696
29788.0,118.236
17276.0,54.3592
19997.0,123.333
18373.0,156.32
12037.0,105.804
20529.0,143.744
27630.0,82.6774
27962.0,89.3139
21842.0,124.078
15274.0,108.129
15161.0,64.1148
29571.0,129.4
19455.0,92.8915
18872.0,128.068
14551.0,141.246
29547.0,72.1145
23359.0,112.125
12144.0,119.875
2396.0,292.293
10472.0,141.117
23986.0,63.7772
31661.0,129.161
11850.0,151.069
13324.0,87.8767
23667.0,23.2248
29634.0,67.1243
33280.0,77.7504
31665.0,59.8173
10815.0,56.007
25332.0,62.1525
27915.0,57.4674
29630.0,305.144
15674.0,36.1101
17982.0,123.574
16947.0,100.647
31437.0,63.4077
2967.0,156.164
21716.0,47.9146
16426.0,58.7766
31792.0,180.08
20126.0,73.2632
17273.0,135.749
24703.0,61.9431
31545.0,78.9321
31562.0,102.511
11737.0,375.896
31991.0,55.7679
31396.0,144.139
22244.0,43.1765
24934.0,174.57
24605.0,81.2802
20017.0,38.5161
23395.0,119.219
16376.0,97.5265
20287.0,47.5805
25660.0,138.977
15679.0,184.896
24488.0,48.018
22274.0,45.8947
19734.0,56.5684
10681.0,64.9405
24759.0,24.5896
13499.0,55.8664
17027.0,70.1425
24878.0,267.163
26208.0,56.112
27963.0,66.5947
24257.0,60.7703
27735.0,74.7897
18042.0,98.6811
25543.0,138.031
20538.0,61.107
17452.0,67.724
9847.0,184.708
25353.0,23.1823
30163.0,46.76
20521.0,48.1618
20536.0,56.4152
29575.0,43.7775
26420.0,41.8564
23442.0,38.0332
19318.0,30.3144
11680.0,35.432
27653.0,51.3565
19599.0,85.4203
24641.0,32.1742
25621.0,49.9789
16153.0,50.4809
27789.0,48.7065
29554.0,137.728
19802.0,18.8384
31166.0,56.2234
33390.0,302.005
25999.0,33.1715
19877.0,70.4732
17620.0,158.838
20404.0,25.1546
25483.0,51.5548
28816.0,32.6857
20505.0,49.043
20002.0,125.145
23917.0,20.1013
25690.0,106.146
24273.0,33.2908
18015.0,59.876
14111.0,34.6368
23802.0,19.6901
26284.0,104.908
21626.0,278.749
25346.0,20.5634
20321.0,50.3571
26599.0,45.2878
22707.0,30.6122
17696.0,43.0591
25971.0,44.3306
31765.0,33.3376
30063.0,45.8793
27763.0,17.4665
23968.0,102.249
27493.0,53.4405
22650.0,15.2734
21496.0,88.3575
17040.0,30.338
17907.0,31.474
19960.0,30.9813
14813.0,46.0809
17893.0,24.2546
31793.0,25.4033
21489.0,17.4025
13755.0,31.6516
18551.0,12.9011
29949.0,47.34
25779.0,137.064
18887.0,27.8952
11445.0,71.9546
26106.0,16.9356
13355.0,11.9867
22168.0,58.8364
25475.0,12.2577
22505.0,11.3588
26374.0,53.6288
19890.0,23.6025
23818.0,15.7919
19339.0,50.4762
10642.0,9.3016
18171.0,19.0281
19906.0,14.9939
19252.0,32.8664
11368.0,9.56293
18126.0,21.2907
27501.0,35.391
12158.0,19.4955
25616.0,17.5048
25714.0,170.726
22871.0,9.04319
27770.0,112.074
27497.0,43.7371
19964.0,16.3325
19346.0,121.406
22566.0,14.4042
25822.0,18.482
22209.0,8.49903
18067.0,45.1562
18400.0,22.1881
25040.0,11.3879
16953.0,11.1507
19779.0,24.7411
19151.0,17.1118
15504.0,15.1878
28142.0,195.031
12861.0,9.8784
19813.0,8.47317
19818.0,16.1874
5827.0,136.335
22197.0,67.0137
19844.0,33.2531
9874.0,8.10629
27690.0,115.037
16572.0,19.9565
19824.0,11.5828
25705.0,17.2824
17954.0,10.6812
22558.0,83.3392
21735.0,17.2105
