playerid,GS,IP
27792.0,3.24,30.289
27669.0,6.48,59.1998
24609.0,0.0,52.0
19666.0,4.86,45.1727
26260.0,0.0,59.0
20020.0,0.0,64.0
24614.0,0.0,64.0
15541.0,0.0,74.0
26389.0,1.62,25.9128
22304.0,0.0,58.0
14993.0,0.0,54.0
24975.0,3.24,71.982
27974.0,1.62,23.18
14874.0,0.0,50.0
19911.0,1.62,51.0733
23499.0,1.62,31.9829
19742.0,0.0,61.0
25376.0,0.0,60.0
19362.0,0.0,66.0
27668.0,0.0,52.0
20116.0,0.0,64.0
31468.0,0.0,30.0
27636.0,3.24,49.7087
27581.0,1.62,30.994
18341.0,0.0,38.0
19924.0,0.0,48.0
17556.0,0.0,77.0
19753.0,0.0,44.0
18064.0,0.0,65.0
31508.0,16.2,90.4061
30249.0,0.0,54.0
25582.0,0.0,34.0
30074.0,0.0,52.0
19531.0,0.0,32.0
3548.0,0.0,34.0
19926.0,0.0,70.0
21267.0,0.0,53.0
24986.0,0.0,45.0
30055.0,1.62,21.8504
19261.0,0.0,40.0
29629.0,0.0,65.0
24580.0,17.82,99.9094
29770.0,0.0,60.0
24995.0,0.0,52.0
20666.0,0.0,11.0
14706.0,0.0,56.0
25215.0,0.0,38.0
30170.0,4.86,53.0001
25139.0,0.0,54.0
16207.0,4.86,26.8397
27694.0,0.0,65.0
21527.0,0.0,33.0
14295.0,0.0,57.0
21101.0,0.0,34.0
33838.0,0.0,36.0
13346.0,0.0,60.0
21546.0,0.0,27.0
23237.0,0.0,66.0
22051.0,0.0,52.0
23394.0,0.0,61.0
19883.0,0.0,52.0
5615.0,0.0,48.0
17968.0,0.0,62.0
27702.0,0.0,50.0
29863.0,8.1,64.2304
20375.0,0.0,65.0
20349.0,0.0,58.0
8779.0,4.86,27.0748
15947.0,0.0,60.0
31676.0,3.24,30.0961
28036.0,0.0,18.0
21894.0,0.0,54.0
20794.0,0.0,16.0
14542.0,0.0,65.0
19374.0,4.86,48.0323
19205.0,0.0,36.0
33980.0,1.62,33.234
21741.0,1.62,60.8488
25636.0,0.0,66.0
19407.0,1.62,17.1487
24937.0,0.0,46.0
27470.0,6.48,77.3854
17381.0,0.0,56.0
17192.0,0.0,40.0
6107.0,0.0,52.0
23429.0,3.24,33.6981
27688.0,4.86,54.3695
17611.0,0.0,52.0
15256.0,0.0,56.0
16977.0,1.62,30.6724
24978.0,0.0,61.0
16647.0,0.0,64.0
19444.0,0.0,56.0
30250.0,0.0,40.0
17859.0,0.0,42.0
27775.0,0.0,42.0
15761.0,0.0,18.0
31701.0,3.24,38.1543
26214.0,0.0,40.0
31312.0,0.0,26.0
22207.0,0.0,52.0
30016.0,1.62,21.234
30140.0,1.62,26.22
20070.0,4.86,74.0142
20160.0,0.0,50.0
26215.0,0.0,59.0
27819.0,1.62,27.8998
29928.0,0.0,46.0
31318.0,6.48,58.6731
16835.0,0.0,58.0
18413.0,14.58,104.22
25703.0,0.0,28.0
30161.0,1.62,43.141
24862.0,0.0,44.0
17578.0,0.0,59.0
20629.0,0.0,68.0
24452.0,0.0,42.0
15094.0,0.0,48.0
31741.0,1.62,27.0121
19409.0,1.62,21.0177
14524.0,0.0,37.0
12777.0,0.0,50.0
29574.0,0.0,25.0
21537.0,0.0,59.0
21623.0,0.0,50.0
20045.0,0.0,14.0
31913.0,0.0,50.0
22361.0,0.0,42.0
26259.0,0.0,52.0
27787.0,0.0,52.0
26944.0,0.0,40.0
17282.0,0.0,42.0
16502.0,1.62,61.0106
30171.0,3.24,58.0285
20517.0,0.0,40.0
31764.0,1.62,49.0042
15042.0,0.0,31.0
