name,position,role,erosp_raw,erosp_startable,actual_pts,proj_rank,actual_rank,error,abs_error,rank_diff
Jameson Taillon,SP,SP,296.9,80.0,302.0,160,238,-5.100000000000023,5.100000000000023,-78
Brenton Doyle,OF,H,296.7,81.6,356.0,161,181,-59.30000000000001,59.30000000000001,-20
Spencer Torkelson,1B,H,296.5,74.6,491.25,162,76,-194.75,194.75,86
Pete Crow-Armstrong,OF,H,296.1,80.8,572.25,163,38,-276.15,276.15,125
Andres Munoz,RP,RP,295.7,217.5,358.0,164,178,-62.30000000000001,62.30000000000001,-14
Pete Fairbanks,RP,RP,295.5,217.1,263.0,165,271,32.5,32.5,-106
Byron Buxton,OF,H,295.1,79.2,546.0,166,46,-250.89999999999998,250.89999999999998,120
Carlos Correa,SS,H,293.8,13.2,398.0,167,141,-104.19999999999999,104.19999999999999,26
Kirby Yates,RP,RP,293.7,213.7,134.0,168,346,159.7,159.7,-178
Junior Caminero,3B,H,293.3,134.8,587.0,169,34,-293.7,293.7,135
Jhoan Duran,RP,RP,292.1,210.5,337.0,170,200,-44.89999999999998,44.89999999999998,-30
Luis Severino,SP,SP,290.6,71.1,263.0,171,271,27.600000000000023,27.600000000000023,-100
Nolan Arenado,3B,H,289.6,127.7,335.5,172,204,-45.89999999999998,45.89999999999998,-32
MacKenzie Gore,SP,SP,287.6,50.9,314.0,173,232,-26.399999999999977,26.399999999999977,-59
Merrill Kelly,SP,SP,286.6,46.3,443.0,174,108,-156.39999999999998,156.39999999999998,66
Matthew Boyd,SP,SP,282.9,38.1,460.0,175,98,-177.10000000000002,177.10000000000002,77
Alexis Diaz,RP,RP,282.7,192.4,26.0,176,381,256.7,256.7,-205
Brayan Bello,SP,SP,282.2,60.4,360.0,177,175,-77.80000000000001,77.80000000000001,2
Royce Lewis,3B,H,280.9,111.5,277.75,178,260,3.1499999999999773,3.1499999999999773,-82
Will Smith,C,H,279.3,214.1,387.0,179,153,-107.69999999999999,107.69999999999999,26
Jake Burger,1B,H,278.9,52.8,254.75,180,278,24.149999999999977,24.149999999999977,-98
Otto Lopez,2B,H,278.0,71.0,463.5,181,95,-185.5,185.5,86
Jonathan India,2B,H,277.8,70.7,327.25,182,213,-49.44999999999999,49.44999999999999,-31
Kodai Senga,SP,SP,277.7,55.2,245.0,183,283,32.69999999999999,32.69999999999999,-100
Kenley Jansen,RP,RP,276.9,181.0,290.0,184,250,-13.100000000000023,13.100000000000023,-66
Michael Busch,1B,H,276.6,50.5,532.25,185,54,-255.64999999999998,255.64999999999998,131
Luis Garcia Jr.,2B,H,275.6,67.9,431.5,186,119,-155.89999999999998,155.89999999999998,67
Zack Littell,SP,SP,272.5,43.6,393.0,187,145,-120.5,120.5,42
Sean Manaea,SP,SP,271.6,48.8,103.0,188,357,168.60000000000002,168.60000000000002,-169
Jose Berrios,SP,SP,270.4,47.6,328.0,189,211,-57.60000000000002,57.60000000000002,-22
Taj Bradley,SP,SP,270.4,41.7,241.0,189,286,29.399999999999977,29.399999999999977,-97
Tanner Scott,RP,RP,270.2,168.1,209.0,191,305,61.19999999999999,61.19999999999999,-114
Shane Bieber,SP,SP,269.8,29.2,100.0,192,360,169.8,169.8,-168
Robert Suarez,RP,RP,269.4,166.5,359.0,193,176,-89.60000000000002,89.60000000000002,17
Andy Pages,OF,H,267.5,46.0,504.0,194,70,-236.5,236.5,124
Marcell Ozuna,DH,H,266.7,265.6,396.25,195,142,-129.55,129.55,53
Will Warren,SP,SP,265.9,43.3,300.0,196,242,-34.10000000000002,34.10000000000002,-46
Chris Bassitt,SP,SP,265.3,42.8,350.0,197,189,-84.69999999999999,84.69999999999999,8
Brandon Lowe,2B,H,264.8,54.9,445.0,198,105,-180.2,180.2,93
Carlos Estevez,RP,RP,264.0,156.1,341.0,199,198,-77.0,77.0,1
Clay Holmes,RP,RP,261.3,151.0,316.0,200,228,-54.69999999999999,54.69999999999999,-28
Isaac Paredes,3B,H,259.3,77.0,344.75,201,194,-85.44999999999999,85.44999999999999,7
Ceddanne Rafaela,OF,H,257.9,37.6,464.0,202,94,-206.10000000000002,206.10000000000002,108
Colt Keith,2B,H,257.6,47.4,334.25,203,207,-76.64999999999998,76.64999999999998,-4
Adolis Garcia,OF,H,255.9,36.0,381.0,204,161,-125.1,125.1,43
Mitchell Parker,SP,SP,255.8,26.5,170.0,205,329,85.80000000000001,85.80000000000001,-124
Kyle Finnegan,RP,RP,255.0,139.3,234.0,206,293,21.0,21.0,-87
Ernie Clement,3B,H,254.5,70.4,473.75,207,86,-219.25,219.25,121
Andrew Vaughn,1B,H,253.4,30.8,331.0,208,209,-77.6,77.6,-1
Joey Ortiz,SS,H,251.7,4.9,342.25,209,196,-90.55000000000001,90.55000000000001,13
Kerry Carpenter,OF,H,250.0,31.7,368.25,210,170,-118.25,118.25,40
Daulton Varsho,OF,H,249.7,31.5,241.75,211,285,7.949999999999989,7.949999999999989,-74
David Bednar,RP,RP,249.1,128.6,321.0,212,221,-71.9,71.9,-9
Lars Nootbaar,OF,H,247.4,29.9,380.0,213,163,-132.6,132.6,50
Jonathan Aranda,1B,H,246.9,26.6,358.75,214,177,-111.85,111.85,37
Bryan Abreu,RP,RP,246.0,123.0,299.0,215,244,-53.0,53.0,-29
Jason Adam,RP,RP,243.7,119.0,260.0,216,274,-16.30000000000001,16.30000000000001,-58
Jeff McNeil,2B,H,242.8,34.6,363.25,217,173,-120.44999999999999,120.44999999999999,44
Willi Castro,OF,H,241.9,26.5,269.5,218,264,-27.599999999999994,27.599999999999994,-46
Ryan O'Hearn,1B,H,241.7,23.7,433.5,219,116,-191.8,191.8,103
Willson Contreras,1B,H,240.4,23.1,413.75,220,135,-173.35,173.35,85
Luis Robert Jr.,OF,H,239.9,25.3,323.0,221,217,-83.1,83.1,4
Griffin Jax,RP,RP,239.3,111.5,206.0,222,309,33.30000000000001,33.30000000000001,-87
J.P. Crawford,SS,H,238.6,3.5,458.25,223,99,-219.65,219.65,124
Sal Frelick,OF,H,238.3,24.4,525.5,224,57,-287.2,287.2,167
Shea Langeliers,C,H,237.6,138.2,473.25,225,87,-235.65,235.65,138
Jung Hoo Lee,OF,H,236.9,23.6,511.0,226,65,-274.1,274.1,161
Eduardo Rodriguez,SP,SP,233.1,14.8,223.0,227,297,10.099999999999994,10.099999999999994,-70
Mike Trout,OF,H,232.9,21.6,372.25,228,166,-139.35,139.35,62
Edward Cabrera,SP,SP,231.9,12.8,310.0,229,233,-78.1,78.1,-4
Ryan Pressly,RP,RP,231.1,97.9,88.0,230,364,143.1,143.1,-134
Josh Bell,1B,H,231.0,18.6,390.75,231,149,-159.75,159.75,82
Jacob Wilson,SS,H,226.4,2.6,487.5,232,79,-261.1,261.1,153
Lucas Erceg,RP,RP,225.3,89.0,206.0,233,309,19.30000000000001,19.30000000000001,-76
Wilyer Abreu,OF,H,225.0,18.0,349.75,234,191,-124.75,124.75,43
Trevor Megill,RP,RP,224.2,87.4,269.0,235,265,-44.80000000000001,44.80000000000001,-30
Jordan Westburg,3B,H,223.5,37.5,272.5,236,262,-49.0,49.0,-26
Connor Norby,3B,H,222.6,36.9,204.25,237,315,18.349999999999994,18.349999999999994,-78
Reid Detmers,SP,SP,222.1,13.1,182.0,238,326,40.099999999999994,40.099999999999994,-88
Alejandro Kirk,C,H,222.0,111.7,420.0,239,127,-198.0,198.0,112
Hunter Goodman,C,H,221.5,110.7,462.75,240,96,-241.25,241.25,144
Ryan Jeffers,C,H,220.8,109.6,318.5,241,224,-97.69999999999999,97.69999999999999,17
Hunter Greene,SP,SP,218.1,14.8,354.0,242,184,-135.9,135.9,58
Spencer Steer,1B,H,217.2,13.4,429.5,243,123,-212.3,212.3,120
Jeff Hoffman,RP,RP,215.9,75.5,300.0,244,242,-84.1,84.1,2
JP Sears,SP,SP,215.2,10.9,205.0,245,312,10.199999999999989,10.199999999999989,-67
Colton Cowser,OF,H,214.7,14.1,203.0,246,317,11.699999999999989,11.699999999999989,-71
Lucas Giolito,SP,SP,214.3,13.5,319.0,247,222,-104.69999999999999,104.69999999999999,25
Ben Rice,1B,H,213.1,12.2,444.75,248,106,-231.65,231.65,142
Corbin Burnes,SP,SP,213.1,13.2,167.0,248,332,46.099999999999994,46.099999999999994,-84
Spencer Horwitz,1B,H,212.8,12.1,341.5,250,197,-128.7,128.7,53
Jose Alvarado,RP,RP,211.4,69.7,108.0,251,355,103.4,103.4,-104
Cade Smith,RP,RP,210.9,69.0,337.0,252,200,-126.1,126.1,52
Mark Vientos,3B,H,210.1,27.9,288.75,253,252,-78.65,78.65,1
Jose Quintana,SP,SP,205.8,11.0,236.0,254,292,-30.19999999999999,30.19999999999999,-38
Josh Jung,3B,H,205.8,25.3,323.0,254,217,-117.19999999999999,117.19999999999999,37
Gabriel Moreno,C,H,205.6,86.1,264.75,256,269,-59.150000000000006,59.150000000000006,-13
Andrew Kittredge,RP,RP,205.3,62.1,202.0,257,318,3.3000000000000114,3.3000000000000114,-61
Colin Rea,SP,SP,202.7,10.2,316.0,258,228,-113.30000000000001,113.30000000000001,30
Jorge Soler,OF,H,200.9,10.1,169.75,259,331,31.150000000000006,31.150000000000006,-72
Spencer Arrighetti,SP,SP,200.2,8.5,39.0,260,378,161.2,161.2,-118
Aroldis Chapman,RP,RP,199.1,54.9,384.0,261,158,-184.9,184.9,103
Quinn Priester,SP,SP,198.2,7.6,350.0,262,189,-151.8,151.8,73
Justin Verlander,SP,SP,196.9,7.9,271.0,263,263,-74.1,74.1,0
Justin Martinez,RP,RP,196.1,51.7,67.0,264,368,129.1,129.1,-104
Casey Mize,SP,SP,195.6,8.6,322.0,265,219,-126.4,126.4,46
Tyler Soderstrom,OF,H,195.2,8.8,541.25,266,48,-346.05,346.05,218
Matt Wallner,OF,H,193.4,8.4,249.25,267,282,-55.849999999999994,55.849999999999994,-15
Andrew Benintendi,OF,H,192.4,8.2,367.0,268,171,-174.6,174.6,97
Justin Steele,SP,SP,192.2,7.9,48.0,269,376,144.2,144.2,-107
Josh Smith,SS,H,192.0,1.1,394.25,270,144,-202.25,202.25,126
Anthony Volpe,SS,H,191.9,1.1,363.5,271,172,-171.6,171.6,99
Kyle Freeland,SP,SP,190.6,7.6,213.0,272,303,-22.400000000000006,22.400000000000006,-31
Slade Cecconi,SP,SP,189.6,5.2,259.0,273,276,-69.4,69.4,-3
Trent Grisham,OF,H,189.6,7.6,471.75,273,91,-282.15,282.15,182
Pablo Lopez,SP,SP,189.4,6.6,187.0,275,323,2.4000000000000057,2.4000000000000057,-48
Cedric Mullins,OF,H,189.3,7.6,352.5,276,185,-163.2,163.2,91
Lane Thomas,OF,H,188.9,7.5,55.0,277,372,133.9,133.9,-95
Harrison Bader,OF,H,188.4,7.4,368.5,278,169,-180.1,180.1,109
Max Scherzer,SP,SP,187.6,4.6,147.0,279,340,40.599999999999994,40.599999999999994,-61
Chad Green,RP,RP,186.9,42.7,77.0,280,365,109.9,109.9,-85
Erick Fedde,SP,SP,185.0,5.0,134.0,281,346,51.0,51.0,-65
Chris Martin,RP,RP,184.5,40.6,122.0,282,351,62.5,62.5,-69
Brandon Marsh,OF,H,184.2,6.7,328.75,283,210,-144.55,144.55,73
Kyle Harrison,SP,SP,184.2,6.5,70.0,283,367,114.19999999999999,114.19999999999999,-84
Tanner Houck,SP,SP,183.1,6.3,11.0,285,383,172.1,172.1,-98
Hayden Birdsong,SP,SP,182.2,6.1,109.0,286,354,73.19999999999999,73.19999999999999,-68
Tyler Stephenson,C,H,182.0,56.0,203.5,287,316,-21.5,21.5,-29
Brooks Lee,3B,H,181.7,14.3,347.25,288,192,-165.55,165.55,96
Nestor Cortes,SP,SP,181.1,6.0,28.0,289,380,153.1,153.1,-91
Spencer Schwellenbach,SP,SP,179.4,5.4,317.0,290,226,-137.6,137.6,64
Pavin Smith,1B,H,179.4,5.3,187.0,290,323,-7.599999999999994,7.599999999999994,-33
Jorge Polanco,2B,H,178.9,7.6,482.0,292,82,-303.1,303.1,210
Trevor Larnach,OF,H,178.6,5.8,391.25,293,148,-212.65,212.65,145
Tyler Rogers,RP,RP,176.5,34.1,259.0,294,276,-82.5,82.5,18
Josh Lowe,OF,H,176.1,5.4,292.75,295,247,-116.65,116.65,48
Miguel Vargas,3B,H,173.7,11.8,419.0,296,129,-245.3,245.3,167
Lourdes Gurriel Jr.,OF,H,173.1,5.0,451.5,297,103,-278.4,278.4,194
Austin Wells,C,H,172.1,45.7,301.75,298,240,-129.65,129.65,58
Ramon Laureano,OF,H,171.3,4.8,438.75,299,111,-267.45,267.45,188
Joc Pederson,1B,H,168.1,3.9,164.25,300,334,3.8499999999999943,3.8499999999999943,-34
Kyle Stowers,OF,H,166.3,4.2,417.5,301,131,-251.2,251.2,170
Abner Uribe,RP,RP,165.3,26.4,357.0,302,180,-191.7,191.7,122
Tommy Edman,2B,H,164.6,5.3,285.75,303,254,-121.15,121.15,49
Reese Olson,SP,SP,164.3,3.9,149.0,304,339,15.300000000000011,15.300000000000011,-35
